"","Station","Period","Date","SpeciesCode","Replicates","CoverMean","CoverSE"
"100",2,51,"10/19/05","503",10,45,9.1894
"101",2,52,"04/20/06","503",10,41.5,4.5977
"102",2,53,"10/19/06","503",10,43.5,4.2197
"103",2,54,"05/01/07","503",10,50.5,4.2459
"104",2,55,"11/04/07","503",10,34,6.3596
"105",2,57,"10/22/08","503",10,64.5,4.6815
"106",2,60,"06/28/10","503",10,25.5,5.0249
"107",2,61,"12/15/10","503",10,52.5,3.594
"108",2,63,"10/23/11","503",10,60.5,7.1278
"109",3,1,"08/31/80","503",10,55,5.4263
"110",3,2,"04/27/81","503",10,43.5,7.6757
"111",3,3,"10/21/81","503",10,44,7.4833
"112",3,4,"04/28/82","503",10,31,9.2436
"113",3,5,"10/16/82","503",10,33.5,7.0336
"114",3,6,"04/27/83","503",9,28.8889,8.4893
"115",3,7,"09/13/83","503",10,40,8.6923
"116",3,9,"10/05/84","503",10,46,7.3333
"117",3,10,"04/27/85","503",10,54,6.1824
"118",3,11,"09/06/85","503",10,40.5,7.9739
"119",3,12,"04/19/86","503",10,49,7.5939
"120",3,13,"10/04/86","503",10,63,10.3333
"121",3,14,"04/23/87","503",10,76.5,5.6298
"122",3,15,"10/10/87","503",10,56.5,9.0998
"123",3,16,"04/27/88","503",10,66,9.153
"124",3,17,"10/07/88","503",10,74.5,4.3748
"125",3,18,"04/20/89","503",10,80,4.4721
"126",3,19,"11/11/89","503",10,82,3.9581
"127",3,21,"10/21/90","503",10,71.5,5.5802
"128",3,22,"04/19/91","503",9,70,5.4006
"129",3,23,"10/12/91","503",10,75,5.7252
"130",3,24,"04/11/92","503",10,75.5,5.398
"131",3,25,"10/08/92","503",10,75,4.0825
"132",3,27,"10/22/93","503",10,66,6.2272
"133",3,28,"04/18/94","503",10,67,6.4636
"134",3,29,"10/08/94","503",10,72.5,4.3621
"135",3,30,"04/07/95","503",10,51,10.2144
"136",3,31,"10/07/95","503",10,78.5,4.2197
"137",3,32,"04/30/96","503",10,54,6.8638
"138",3,33,"10/06/96","503",10,43,9.7809
"139",3,34,"04/18/97","503",10,61,10.0222
"140",3,35,"10/17/97","503",10,56,8.2932
"141",3,36,"04/24/98","503",10,53.5,10.9303
"142",3,37,"10/18/98","503",10,52.5,7.8969
"143",3,38,"04/25/99","503",10,70.5,7.7262
"144",3,39,"10/11/99","503",10,76,3.4801
"145",3,41,"10/28/00","503",10,79.5,3.6094
"146",3,42,"05/04/01","503",10,71,5.5176
"147",3,43,"10/17/01","503",10,73,7.3106
"148",3,44,"04/30/02","503",10,67.5,4.2979
"149",3,45,"10/10/02","503",10,56,3.559
"150",3,46,"05/01/03","503",10,38.5,4.2197
"151",3,47,"10/16/03","503",10,53.5,5.2202
"152",3,50,"05/12/05","503",10,53.5,8.5651
"153",3,51,"10/19/05","503",10,48,6.9202
"154",3,52,"04/20/06","503",10,38.5,6.5
"155",3,53,"10/19/06","503",10,47,4.3589
"156",3,54,"05/01/07","503",10,44.5,5.7951
"157",3,55,"11/04/07","503",10,32,5.1208
"158",3,57,"10/22/08","503",10,51,2.9627
"159",3,60,"06/29/10","503",10,41,8.6859
"160",3,61,"12/15/10","503",10,55.5,4.6218
"161",3,63,"10/23/11","503",10,45.5,7.9039
"162",4,1,"08/29/80","503",10,9.5,1.5723
"163",4,2,"04/29/81","503",10,19,3.559
"164",4,3,"10/20/81","503",10,12.5,2.9107
"165",4,4,"04/27/82","503",10,11,3.1447
"166",4,5,"10/17/82","503",10,16,4
"167",4,6,"04/26/83","503",10,15,5.5777
"168",4,7,"09/14/83","503",10,25,7.1492
"169",4,8,"02/19/84","503",10,29,4.761
"170",4,9,"10/04/84","503",10,10,3.4157
"171",4,10,"04/25/85","503",10,7.5,3.594
"172",4,11,"09/07/85","503",10,9,3.9299
"173",4,12,"04/18/86","503",10,13.5,4.0173
"174",4,13,"10/02/86","503",10,24.5,4.5613
"175",4,14,"04/24/87","503",10,15.5,5.0799
"176",4,15,"10/08/87","503",10,11.5,2.7938
"177",4,16,"04/29/88","503",10,26.5,5.058
"178",4,17,"10/08/88","503",10,17,6.9602
"179",4,18,"04/22/89","503",10,17,6.9202
"180",4,19,"11/13/89","503",10,18.5,5.2202
"181",4,21,"10/22/90","503",10,14,4.761
"182",4,22,"04/18/91","503",10,24.5,6.2561
"183",4,23,"10/10/91","503",10,12.5,3.594
"184",4,24,"04/12/92","503",10,15,5.5277
"185",4,25,"10/08/92","503",10,14.5,5.1343
"186",4,26,"04/17/93","503",10,22.5,5.4391
"187",4,27,"10/25/93","503",10,17,6.3333
"188",4,28,"04/16/94","503",10,16.5,3.3375
"189",4,29,"10/06/94","503",10,22,6.3333
"190",4,30,"04/10/95","503",10,22,6.1554
"191",4,31,"10/05/95","503",10,17,6.0185
"192",4,32,"04/29/96","503",10,15.5,5.9372
"193",4,33,"10/05/96","503",10,16,5.1532
"194",4,34,"04/17/97","503",10,13,5.6862
"195",4,35,"10/19/97","503",10,14.5,5.0249
"196",4,36,"04/27/98","503",10,17.5,5.6887
"197",4,37,"10/20/98","503",10,28.5,6.6687
"198",4,38,"04/26/99","503",10,25,6.1464
"199",4,40,"05/06/00","503",10,12,4.4845
"200",4,41,"10/26/00","503",10,20.5,5.6984
"201",4,42,"05/03/01","503",10,18.5,7.4181
"202",4,43,"10/19/01","503",10,21.5,6.994
"203",4,44,"05/02/02","503",10,18.5,5.7276
"204",4,45,"10/12/02","503",10,14,3.6362
"205",4,46,"05/03/03","503",10,13,4.0277
"206",4,47,"10/17/03","503",10,8,2.4944
"207",4,49,"10/27/04","503",10,11,3.6362
"208",4,50,"05/10/05","503",10,13,4.1633
"209",4,51,"10/18/05","503",10,14,3.2318
"210",4,52,"4/19/06","503",10,7.5,2.8137
"211",4,53,"10/17/06","503",10,8.5,2.6926
"212",4,54,"05/02/07","503",10,13,3.266
"213",4,55,"11/03/07","503",10,18.5,5.1126
"214",4,56,"05/19/08","503",10,12.5,5.6396
"215",4,57,"10/21/08","503",10,15.5,3.5316
"216",4,60,"06/29/10","503",10,6,2.2111
"217",4,61,"12/14/10","503",10,35,8.2999
"218",4,63,"10/24/11","503",10,17.5,5.069
"219",5,1,"08/28/80","503",10,12,2.2608
"220",5,2,"04/24/81","503",10,25.5,5.747
"221",5,3,"10/23/81","503",10,13.5,3.2532
"222",5,4,"04/25/82","503",10,14.5,2.7335
"223",5,5,"10/19/82","503",10,23.5,3.3375
"224",5,6,"04/26/83","503",10,14,2.0817
"225",5,7,"09/14/83","503",10,33,5.9722
"226",5,8,"02/19/84","503",10,30.5,3.5316
"227",5,9,"10/04/84","503",10,15,3.9441
"228",5,10,"04/26/85","503",10,8.5,2.7938
"229",5,11,"09/08/85","503",10,9,1.7951
"230",5,12,"04/20/86","503",10,24,3.559
"231",5,13,"10/03/86","503",10,23.5,5.7759
"232",5,14,"04/27/87","503",10,30,4.7726
"233",5,15,"10/08/87","503",10,19,3.8586
"234",5,16,"04/26/88","503",10,27,6.1554
"235",5,17,"10/06/88","503",10,19,4.7022
"236",5,18,"04/21/89","503",10,25,5.8689
"237",5,19,"11/12/89","503",10,28,4.6068
"238",5,21,"10/19/90","503",10,23.5,4.3493
"239",5,22,"04/17/91","503",10,23.5,3.7305
"240",5,23,"10/11/91","503",10,16,2.4495
"241",5,24,"04/11/92","503",10,34.5,3.8333
"242",5,25,"10/10/92","503",10,35.5,6.8496
"243",5,26,"04/17/93","503",10,41,4.761
"244",5,27,"10/21/93","503",10,35,6.0553
"245",5,28,"04/17/94","503",10,28,6.245
"246",5,29,"10/05/94","503",10,31,5.7155
"247",5,30,"04/06/95","503",10,35.5,4.5
"248",5,31,"10/04/95","503",10,39.5,5.6495
"249",5,32,"04/27/96","503",10,25,3.873
"250",5,33,"10/05/96","503",10,29,5.2068
"251",5,34,"04/17/97","503",10,13,3.0912
"252",5,35,"10/19/97","503",10,29,5.2068
"253",5,36,"04/27/98","503",10,45.5,3.7602
"254",5,37,"10/20/98","503",5,40,9.6177
"255",5,38,"04/26/99","503",10,30.5,4.5
"256",5,40,"05/04/00","503",10,17.5,6.2472
"257",5,41,"10/26/00","503",10,21,4
"258",5,42,"05/03/01","503",10,30.5,6.3879
"259",5,43,"10/16/01","503",10,33.5,5.9184
"260",5,44,"05/01/02","503",10,27,3.5119
"261",5,45,"10/12/02","503",10,21.5,3.5
"262",5,46,"05/03/03","503",10,17,4.7842
"263",5,47,"10/17/03","503",10,13.5,3.3375
"264",5,49,"10/28/04","503",10,25,6.9921
"265",5,50,"05/10/05","503",10,31,4.8189
"266",5,51,"10/18/05","503",10,16,2.6667
"267",5,52,"4/19/06","503",10,15.5,5.0249
"268",5,53,"10/17/06","503",10,23,5.831
"269",5,55,"11/03/07","503",10,33,4.7258
"270",5,56,"05/19/08","503",10,31,7.1414
"271",5,57,"10/21/08","503",10,27.5,4.7288
"272",5,60,"06/30/10","503",10,31,4.761
"273",5,61,"12/14/10","503",10,40.5,4.3748
"274",5,63,"10/24/11","503",10,31.5,5.5302
"275",6,1,"08/26/80","503",10,30,5.7735
"276",6,2,"04/28/81","503",10,28.5,5.5302
"277",6,3,"10/19/81","503",10,26,4.1366
"278",6,4,"04/26/82","503",10,26,6.4031
"279",6,5,"10/15/82","503",10,27.5,4.1667
"280",6,6,"04/25/83","503",10,26,4.4597
"281",6,9,"10/08/84","503",10,14.5,4.3748
"282",6,10,"04/26/85","503",10,14.5,2.0344
"283",6,11,"09/08/85","503",10,15,5.6765
"284",6,12,"04/21/86","503",10,18,3.266
"285",6,13,"10/04/86","503",10,22,4.6068
"286",6,14,"04/26/87","503",10,31.5,6.1936
"287",6,15,"10/12/87","503",10,28.5,4.7755
"288",6,16,"04/29/88","503",10,32,6.1554
"289",6,17,"10/06/88","503",10,17.5,2.0069
"290",6,18,"04/19/89","503",10,27,3.9581
"291",6,19,"11/10/89","503",10,29,2.9627
"292",6,21,"10/20/90","503",10,27,4.2295
"293",6,22,"04/17/91","503",10,31,4.0689
"294",6,23,"10/12/91","503",10,27,3.266
"295",6,24,"04/12/92","503",10,47,4.3589
"296",6,25,"10/09/92","503",10,39.5,5.4493
"297",6,26,"04/16/93","503",10,45.5,7.0887
"298",6,27,"10/24/93","503",10,54,4.6428
"299",6,28,"04/16/94","503",10,43.5,6.9142
"300",6,29,"10/05/94","503",10,42.5,4.4253
"301",6,30,"04/07/95","503",10,44.5,5.747
"302",6,31,"10/05/95","503",10,56.5,3.8766
"303",6,32,"04/29/96","503",10,53.5,6.5426
"304",6,33,"10/04/96","503",10,57,4.5461
"305",6,34,"04/20/97","503",10,54.5,3.5316
"306",6,35,"10/20/97","503",10,46,5.7639
"307",6,36,"04/26/98","503",10,54,4.4597
"308",6,37,"10/16/98","503",10,44,5.4671
"309",6,38,"04/24/99","503",10,44.5,5.6984
"310",6,40,"05/05/00","503",10,62,4.899
"311",6,41,"10/25/00","503",10,62,6.6332
"312",6,42,"05/02/01","503",10,57.5,5.1235
"313",6,43,"10/16/01","503",10,68.5,3.6553
"314",6,44,"05/01/02","503",10,49,2.7689
"315",6,45,"10/09/02","503",10,38,4.7842
"316",6,46,"05/04/03","503",10,51.5,5.4798
"317",6,47,"10/18/03","503",10,33,7.8599
"318",6,49,"10/25/04","503",10,26,3.7859
"319",6,50,"05/11/05","503",10,30,7.8174
"320",6,51,"10/17/05","503",10,32,5.1747
"321",6,52,"04/20/06","503",10,37.5,5.7373
"322",6,53,"10/16/06","503",10,18,2.4944
"323",6,54,"04/30/07","503",10,18.5,3.6553
"324",6,55,"11/05/07","503",10,26.5,4.0173
"325",6,57,"10/20/08","503",10,17.5,4.0311
"326",6,60,"06/30/10","503",10,36,8.1921
"327",6,61,"12/13/10","503",10,29,6.7412
"328",6,63,"10/24/11","503",10,52,3
